product_id,name_clean,brand_name,product_type,origin_class_corrected,price,rating,sold_count,discount_rate,tiki_verified,cluster,pca_x,pca_y
277375294,Sữa rửa mặt dưỡng trắng cao cấp Hada Labo Premium Cleanser Radiance,Hada Labo,Skincare,Ngoài nước,107000,5.0,23,19.0,0,2,1.5803455453458701,2.1654597524114725
277375219,Sữa rửa mặt Hada Labo dưỡng ẩm cao cấp Premium Cleanser Hydrating,Hada Labo,Skincare,Ngoài nước,99000,5.0,31,20.0,0,2,1.724432068546748,2.278779805069453
276486487,Sữa Rửa Mặt Rosette Làm Giảm Mụn Face Wash Pasta Acne Clear,Rosette,Skincare,Ngoài nước,133200,5.0,7,17.0,0,2,1.1705749641670338,1.828205347446097
276396782,Sữa rửa mặt X-Men Detox/Sáng da/Ngừa mụn/Kiểm soát nhờn/Mát lạnh,X-Men,Skincare,Trong nước,62000,5.0,18,25.0,0,2,1.6697752690458594,2.6738426215665343
276022717,"Sữa rửa mặt cho nam Oxy sạch dịu nhẹ, kiềm dầu dạng kem Oxy Oil Acne Wash",OXY,Skincare,Trong nước,79000,5.0,58,19.0,0,2,2.1068930734056326,2.40376618622824
276022715,"Sữa rửa mặt cho nam Oxy sạch dịu nhẹ, giảm khô căng dạng gel Oxy Hydrating Wash",OXY,Skincare,Trong nước,79000,4.3,52,19.0,0,2,1.8604460329042372,2.3772091896340726
275968083,Sữa rửa mặt dạng gel rửa mặt cà phê Đắk Lắk Cocoon,Cocoon,Skincare,Trong nước,162700,5.0,14,15.0,0,2,1.405789063003037,1.700100325504116
275875969,Sữa Rửa Mặt CERAVE Hydrating Cleanser,CeraVe,Skincare,Ngoài nước,470000,0.0,1,0.0,0,0,-1.1960012808885776,0.1881654337789604
275798194,Sữa rửa mặt tẩy trang sáng da Hatomugi /tuýp,Hatomugi,Skincare,Ngoài nước,45000,5.0,73,50.0,0,3,2.099044611851111,4.1103003286170114
275798162,Sữa rửa mặt làm sáng da Hatomugi /tuýp,Reihaku Hatomugi,Skincare,Ngoài nước,59000,5.0,11,0.0,0,2,1.4712365393705928,1.571420115239447
275796078,Sữa rửa mặt Simple Refreshing Facial Wash giúp làm sạch da (/) - Hàng chính hãng,SIMPLE,Skincare,Ngoài nước,129000,0.0,6,14.0,0,0,-0.49903942670556367,1.6277850277451937
275085347,Sữa rửa mặt dưỡng trắng Hada Labo Perfect White Tranexamic Acid Cleanser,Hada Labo,Skincare,Ngoài nước,15000,0.0,233,25.0,1,3,1.9444027281371565,2.591506048365895
273429907,"CeraVe Hydrating Cleanser - Sữa Rửa Mặt Cho Da Khô, Hỗn Hợp Khô Nhạy Cảm",CeraVe,Skincare,Ngoài nước,65000,0.0,3,0.0,1,1,0.08143559927866369,0.27578217612537065
194005605,Sữa Rửa Mặt Dịu Nhẹ Cho Da Nhạy Cảm Cetaphil Gentle Skin Cleanser,Cetaphil,Skincare,Ngoài nước,899000,4.8,24,0.0,1,2,1.9961627054904836,-0.8712184275982494
184040167,Nước tẩy trang RHA chống lão hóa 3 TRONG 1 Teoxane RHA Micellar Solution,Teoxane,Skincare,Ngoài nước,900000,0.0,1,0.0,1,1,-0.6671366164047192,-1.2000680787535587
72215923,Bộ Sữa rửa mặt dưỡng ẩm OHUI Miracle Moisture Cleansing Foam set,OHUI,Skincare,Ngoài nước,562500,0.0,11,25.0,1,1,0.07024818114206766,0.34225964036842343
58976113,Sữa Rửa Mặt Tạo Bọt Ngừa Mụn Oriss - Chuyên Dành Cho Da Mụn,Oriss,Skincare,Trong nước,112000,4.8,313,25.0,1,2,3.5473725528333184,1.5664628810112613
20006216,Sữa rửa mặt dưỡng ẩm Facial Cleanser Men Stay Simplicity,Men Stay Simplicity,Skincare,Trong nước,169000,4.5,88,0.0,1,2,2.6244871619982453,0.1699557008496649
278965268,Sữa rửa mặt dành cho người da mụn - Mistine Acne Clear Facial Foam,Mistine,Skincare,Ngoài nước,62400,4.0,2,43.0,0,3,1.0223747517715294,3.1518986639279425
278855886,Sữa rửa mặt Simple Purifying Gel Wash () - Hàng chính hãng,SIMPLE,Skincare,Ngoài nước,139000,0.0,1,0.0,0,0,-0.9832574211808643,0.8382051555247547
278719621,"Sữa rửa mặt cho nam OXY sạch dịu nhẹ, sáng da OXY White Complete",OXY,Skincare,Trong nước,79000,0.0,1,17.0,0,0,-0.9481093725339265,1.8885719926946396
276563648,Sữa rửa mặt SIMPLE dưỡng ẩm,SIMPLE,Skincare,Ngoài nước,138000,0.0,1,0.0,0,0,-0.9819965570952567,0.8420577308258409
276452429,SỮA RỬA MẶT RAU MÁ CICA CAO CẤP 7 TÁC DỤNG – DABO 7IN1 MULTI CICA FOAM CLEANSER,Dabo,Skincare,Ngoài nước,170000,0.0,1,0.0,0,0,-1.0184145260580197,0.7307824797157698
276292694,Set Sửa Rửa Mặt Ohui Age Recovery Soft Amino Foam Special Set,OHUI,Skincare,Ngoài nước,760000,0.0,1,20.0,0,0,-1.3546572090141156,0.8127702319404225
276284392,Gel rửa mặt kiêm tẩy tế bào chết tinh chất bưởi hồng danh cho da dầu mụn,Evoluderm,Skincare,Ngoài nước,112000,5.0,30,50.0,0,3,1.6298117683552826,3.5209221756209153
276129814,Sữa rửa mặt dạng gel Bí Đao Rửa Mặt Cocoon (),Cocoon,Skincare,Trong nước,148500,5.0,12,22.0,0,2,1.2504018122162466,2.0586680574566296
276025993,Sữa rửa mặt dạng gel ẩm mịn sáng da căn bóng chứa AHA/PHA OHUI Miracle Toning Jelly Cleanser,OHUI,Skincare,Ngoài nước,442000,0.0,6,29.0,0,3,-0.7701435645124199,1.6314592108244401
275968828,Sữa rửa mặt dạng gel rửa mặt cà phê Đắk Lắk Cocoon,Cocoon,Skincare,Trong nước,250750,5.0,11,16.0,0,2,1.1587780456568761,1.50420482831872
275875976,Sữa Rửa Mặt CERAVE Hydrating Cleanser,CeraVe,Skincare,Ngoài nước,330000,0.0,3,0.0,0,0,-0.8445999236407573,0.45045852814713183
275798223,Combo 2 Sữa rửa mặt hạt chứa than hoạt tính dành cho nam s select /tuýp,S Select,Skincare,Ngoài nước,86000,3.7,16,28.0,0,3,1.214009399968863,2.5848776213595395
275627181,Gel rửa mặt cho da dầu nhạy cảm La Roche-Posay Effaclar Foaming Gel (Túi refill),La Roche-Posay,Skincare,Ngoài nước,503000,5.0,28,9.0,0,2,1.4041570025494103,0.9235427049040059
274466232,Gel Rửa Mặt Cho Da Mụn Eucerin 3X Treatment Gel To Foam Cleanser,Eucerin,Skincare,Ngoài nước,214500,5.0,16,17.0,0,2,1.2871710333310593,1.6765000274471067
273969222,Sữa rửa mặt CeraVe dành cho da thường và da dầu CeraVe Foaming Facial Cleanser,CeraVe,Skincare,Ngoài nước,470000,5.0,11,3.0,0,2,1.0976377169074736,0.5962941997617072
273398528,Sữa Rửa Mặt Dạng Gel Dành Cho Da Dầu Nhạy Cảm Effaclar Gel Moussant Purifiant La Roche Posay,La Roche-Posay,Skincare,Ngoài nước,50000,4.7,57,0.0,1,2,3.012242351466391,0.720782974865292
272389754,Sữa rửa mặt nam tạo bọt Sạch nhờn cho da dầu UNO Whip Wash Nhật Bản,Dabo,Skincare,Ngoài nước,135000,5.0,23,0.0,1,2,2.315237355640112,0.1507216968190748
271528436,Sữa rửa mặt trẻ em POLI Foam Cleansing Fresh Hàn Quốc làm sạch da mặt dịu nhẹ và không gây kích ứng,Dabo,Skincare,Ngoài nước,155000,0.0,3,0.0,1,1,-0.0703230747513674,-0.1879170647106529
270773076,Gel sữa rửa mặt Compliment No Problem giảm mụn,COMPLIMENT,Skincare,Ngoài nước,95000,5.0,10,0.0,1,2,2.0070465057166,0.26388741913609265
190641506,Sữa Rửa Mặt Dịu Nhẹ Cho Da Dầu CeraVe Foaming Cleanser,CeraVe,Skincare,Ngoài nước,485000,0.0,9,0.0,1,1,0.11336314464443223,-0.6992955907995044
188847073,"Gel rửa mặt BHA Compliment No Problem làm sạch sâu, giảm viêm & mụn",COMPLIMENT,Skincare,Ngoài nước,145000,5.0,85,0.0,0,2,2.327140663823128,1.2636513192812115
172948717,Sữa Rửa Mặt Ngừa Mụn Và Làm Sáng Da 31302 Reihaku Hatomugi Facial Foam(Tuýp ),Hatomugi,Skincare,Ngoài nước,91000,4.6,15,50.0,1,3,2.2044505612827487,2.45506762835116
114738534,Sữa Rửa Mặt Dưỡng Ẩm Tẩy Da Chết Whoo Gongjinhyang Clarifying Cleansing Foam,OHUI,Skincare,Ngoài nước,176000,0.0,4,41.0,1,3,-0.15246545631716366,1.5741054017143403
55984957,Sữa rửa mặt dưỡng ẩm sáng hồng da Whoo GJH Soo Hydrating Foam Cleanser,Whoo,Skincare,Ngoài nước,145000,4.8,125,28.0,1,2,2.842044413120625,1.5160995636562524
41356751,SỮA RỬA MẶT SKINICER REPAIR CLEANSER,Skinicer,Skincare,Trong nước,880000,5.0,1,0.0,1,2,2.1952676332773424,-1.3566368948123007
26350296,Sữa rửa mặt tạo bọt than clarista,Clarista,Skincare,Ngoài nước,115000,5.0,18,57.0,1,3,2.0049843182317693,2.727825808893802
